sajušteapmi	oasástallam, háhkuhibme
sasni	sassne
sasti	sassne
sáddet	tjievtjastit
sággeguoskahus	spihttokontákta, návllekontákta, tsáhkemkontákta
sággeguoskkahat	spihttokontákta, návllekontákta, tsáhkemkontákta
sáhpán	sjnjierrá
sáhpánskuolfi	idjasjkunjok
sáibu	soahppo
sáivačuonjá	vuovddegássa
Sámediggeráđđi	sámedikkeráde
sáppahat	stiebila
sávzaloddi	sterra
sávza	sávttsa
seaŋgaliidni	láhkán
seaŋga	sæŋŋga
seavagiella	sevvamgiella
seksuála orientašuvdna	seksuellak luonndo, sexuellak luonndo
seksuála sodju	seksuellak luonndo, sexuellak luonndo
semifinála	semifinálla
sieđgacivkkán	sierggaurjjá
sieđgavizar	rievsaktsitsásj
sierraneapmi	sierranibme
sihkaldat	sigárdahka
sihkkarastinkopiija	lijggemoattádus
sihkkarastinmáŋggus	lijggemoattádus
sihkkarasti	siekrik
sihkkel	syhkal
sihkkut	sihkkot
silbaseargge	sjilla
silki	silkki
(sisa) beassankoarta	bessamkårttå
sisbáidi	skirtusj
sisbuvssat	truvsa
siskkitbeallji	sisŋepbiellje
sisti	sassne
skáhpeloddi	bielljerástes
skáiti	ribrri, skájtti
skállu	skiello
skárfa	skárffa, áhpetjuktje
skihrri	vielggisguovsak, bierŋesguovsak, soahkeguovsak
skilkeskálka	guossalávllo
skiŋgegaccet	buojddegattsak
skire	skirri
skirri	vielggisguovsak, bierŋesguovsak, soahkeguovsak
skoarra	skoarra
skruvvabonjan	skruvvaruovdde
skruvvaruovdi	skruvvaruovdde
skuolfi	guvggo
skuovat	skuova
skutnjaloddi	idjasjkunjok
smávvagoalsi	vuopptagoalsse
snárttal	snárdal
soadjanjálla	guvggo
soahkegaccet	råhtogattsak
soahkesoadjá	rássjotsihtse
soarvi	soarvve
sohkabealledovddaheapmi	sjiervvegåvås, sjiervveåvddånbuktem, sjiervveåvddåjbuktem
sohkabealleidentitehta	sjiervveidentitiehtta, sjiervveidentitäjtta
spábbačiekčangáma	bállotjiektjamgáma, tjiektjamgáma, roahttotjiektjamgáma
spábbačiekčangieddi	roahttotjiektjamsjalljo
spábbačiekčan	roahttotjiektjam, bállotjiektjam
spábba	roahtto, bállo
spáhppal	råhkån
spálfu	fálffo
speallu	spella
spiehkastat	tjuoldos
spiidni	svijnne
spižus	hudi
stárra	sterra
stohkkegaccet	guossagattsak
stohpospálfu	fálffo
stuollu	ståvllå
stuoračoavžžu	glivi
stuoragáiru	stuorskávlle, stuorskákle
stuoraháskil	stuorskájtti
stuorračuonjá	vuovddegássa
stuorrafiehta	viehtak
stuorraguškkástat	stuorgussjká
stuorraskáiti	stuorskájtti
stuorraskárfa	skárffa, áhpetjuktje
stuorraskávli	stuorskávlle, stuorskákle
stuorraskuolfi	liddno
stuorravuojaš	stuorvuojatjis
